chemical_shift;intensity
103.200000;33.147767
103.300000;33.514469
103.400000;33.830535
103.500000;34.059715
103.600000;34.271992
103.700000;34.512497
103.800000;34.760645
103.900000;34.908412
104.000000;35.039312
104.100000;35.135857
104.200000;35.202471
104.300000;35.260891
104.400000;35.279570
104.500000;35.285752
104.600000;35.279645
104.700000;35.273539
104.800000;35.268620
104.900000;35.265421
105.000000;35.263411
105.100000;35.249111
105.200000;35.238908
105.300000;35.224609
105.400000;35.198020
105.500000;35.167334
105.600000;35.124360
105.700000;35.083520
105.800000;35.021078
105.900000;34.966761
106.000000;34.900292
106.100000;34.800983
106.200000;34.716098
106.300000;34.598303
106.400000;34.473435
106.500000;34.313660
106.600000;34.123179
106.700000;33.897897
106.800000;33.650067
106.900000;33.375593
107.000000;33.034458
107.100000;32.759239
107.200000;32.845387
107.300000;32.964239
107.400000;33.041042
107.500000;33.103559
107.600000;33.137401
107.700000;33.156820
107.800000;33.183485
107.900000;33.189667
108.000000;33.172184
108.100000;33.146611
108.200000;33.112844
108.300000;33.079215
108.400000;33.040337
108.500000;33.001459
108.600000;32.970773
108.700000;32.894856
108.800000;32.807836
108.900000;32.751728
109.000000;32.890218
109.100000;33.051255
109.200000;33.181586
109.300000;33.340386
109.400000;33.493834
109.500000;33.612446
109.600000;33.728216
109.700000;33.798926
109.800000;33.861443
109.900000;33.915767
110.000000;33.954447
110.100000;33.987548
110.200000;34.015969
110.300000;34.055232
110.400000;34.093170
110.500000;34.166907
110.600000;34.417512
110.700000;34.772980
110.800000;34.980937
110.900000;35.131545
111.000000;35.265766
111.100000;35.363120
111.200000;35.460474
111.300000;35.573423
111.400000;35.678332
111.500000;35.829955
111.600000;35.990851
111.700000;36.341359
111.800000;36.686564
111.900000;37.076384
112.000000;37.472330
112.100000;37.967965
112.200000;38.340349
112.300000;38.621507
112.400000;38.959054
112.500000;39.251025
112.600000;39.591580
112.700000;39.996169
112.800000;40.298876
112.900000;40.707608
113.000000;41.059990
113.100000;41.468073
113.200000;41.878524
113.300000;42.353249
113.400000;43.034827
113.500000;43.744162
113.600000;44.387905
113.700000;44.919453
113.800000;45.411920
113.900000;45.897441
114.000000;46.161336
114.100000;46.427438
114.200000;46.609298
114.300000;46.774366
114.400000;46.907935
114.500000;47.044913
114.600000;47.204041
114.700000;47.305816
114.800000;47.383703
114.900000;47.462934
115.000000;47.533644
115.100000;47.583150
115.200000;47.605718
115.300000;47.624190
115.400000;47.634469
115.500000;47.644748
115.600000;47.642738
115.700000;47.640727
115.800000;47.628718
115.900000;47.611337
116.000000;47.585539
116.100000;47.551998
116.200000;47.501846
116.300000;47.418097
116.400000;47.307705
116.500000;47.157173
116.600000;46.929156
116.700000;46.595457
116.800000;46.214787
116.900000;45.797797
117.000000;45.080015
117.100000;44.456693
117.200000;43.785237
117.300000;43.197612
117.400000;42.648974
117.500000;42.158370
117.600000;41.691907
117.700000;41.139978
117.800000;40.579769
117.900000;40.034737
118.000000;39.532875
118.100000;39.093098
118.200000;38.623599
118.300000;38.260997
118.400000;37.865713
118.500000;37.402822
118.600000;36.806793
118.700000;36.253760
118.800000;35.764240
118.900000;35.096477
119.000000;34.600861
119.100000;34.180981
119.200000;33.789825
119.300000;33.534952
119.400000;33.519687
119.500000;33.531066
119.600000;33.536149
119.700000;33.538235
119.800000;33.544417
119.900000;33.534214
120.000000;33.503529
120.100000;33.496525
120.200000;33.575973
120.300000;33.798864
120.400000;34.070061
120.500000;34.531392
120.600000;34.920948
120.700000;35.529221
120.800000;36.196500
120.900000;36.755957
121.000000;37.326696
121.100000;37.889643
121.200000;38.441513
121.300000;38.999510
121.400000;39.463512
121.500000;40.051398
121.600000;40.466533
121.700000;40.851420
121.800000;41.218334
121.900000;41.504962
122.000000;41.837005
122.100000;42.108149
122.200000;42.360334
122.300000;42.575795
122.400000;42.797091
122.500000;43.088027
122.600000;43.470105
122.700000;43.896549
122.800000;44.333970
122.900000;44.914404
123.000000;45.559375
123.100000;46.124150
123.200000;46.841615
123.300000;47.568740
123.400000;48.251978
123.500000;48.944634
123.600000;49.476578
123.700000;50.060636
123.800000;50.670078
123.900000;51.375217
124.000000;51.960453
124.100000;52.503053
124.200000;53.139657
124.300000;53.723781
124.400000;54.312949
124.500000;54.810737
124.600000;55.428856
124.700000;55.961521
124.800000;56.426621
124.900000;56.935622
125.000000;57.478423
125.100000;57.958810
125.200000;58.418149
125.300000;58.853592
125.400000;59.253965
125.500000;59.660768
125.600000;60.089181
125.700000;60.489256
125.800000;60.895492
125.900000;61.302144
126.000000;61.710065
126.100000;62.085249
126.200000;62.400509
126.300000;62.741998
126.400000;63.080084
126.500000;63.405799
126.600000;63.707673
126.700000;63.978161
126.800000;64.255435
126.900000;64.516913
127.000000;64.722413
127.100000;64.892175
127.200000;65.080389
127.300000;65.279415
127.400000;65.475083
127.500000;65.695330
127.600000;65.878709
127.700000;66.033413
127.800000;66.201665
127.900000;66.316420
128.000000;66.382018
128.100000;66.443937
128.200000;66.470601
128.300000;66.501363
128.400000;66.523931
128.500000;66.530113
128.600000;66.536296
128.700000;66.546575
128.800000;66.548661
128.900000;66.542554
129.000000;66.528254
129.100000;66.513955
129.200000;66.483269
129.300000;66.436304
129.400000;66.331044
129.500000;66.160207
129.600000;65.911822
129.700000;65.539588
129.800000;65.156754
129.900000;64.726436
130.000000;64.219770
130.100000;63.778249
130.200000;63.322482
130.300000;62.866676
130.400000;62.414031
130.500000;61.893727
130.600000;61.398045
130.700000;60.996581
130.800000;60.571493
130.900000;60.222201
131.000000;59.857895
131.100000;59.487139
131.200000;59.136965
131.300000;58.804975
131.400000;58.399349
131.500000;58.073919
131.600000;57.771820
131.700000;57.502492
131.800000;57.248634
131.900000;56.992510
132.000000;56.733170
132.100000;56.527725
132.200000;56.294249
132.300000;56.072758
132.400000;55.858884
132.500000;55.658856
132.600000;55.442408
132.700000;55.275829
132.800000;55.043743
132.900000;54.782607
133.000000;54.437882
133.100000;54.091499
133.200000;53.740207
133.300000;53.330851
133.400000;52.884859
133.500000;52.411873
133.600000;51.934881
133.700000;51.434285
133.800000;50.845203
133.900000;50.290451
134.000000;49.892159
134.100000;49.501840
134.200000;49.147101
134.300000;48.824519
134.400000;48.529256
134.500000;48.219979
134.600000;47.923665
134.700000;47.584322
134.800000;47.156966
134.900000;46.692024
135.000000;46.275601
135.100000;45.839188
135.200000;45.381619
135.300000;45.023150
135.400000;44.563947
135.500000;44.203892
135.600000;43.894775
135.700000;43.626589
135.800000;43.350175
135.900000;43.061699
136.000000;42.724670
136.100000;42.366236
136.200000;42.024724
136.300000;41.690332
136.400000;41.363689
136.500000;41.007251
136.600000;40.668786
136.700000;40.290885
136.800000;39.904791
136.900000;39.555566
137.000000;39.244143
137.100000;38.926753
137.200000;38.518496
137.300000;38.084927
137.400000;37.787655
137.500000;37.487437
137.600000;37.210932
137.700000;36.834879
137.800000;36.453099
137.900000;36.121926
138.000000;35.668258
138.100000;35.137410
138.200000;34.681182
138.300000;34.326401
138.400000;33.969677
138.500000;33.533047
138.600000;32.951010
138.700000;32.543029
138.800000;32.168269
138.900000;31.760455
139.000000;31.350173
139.100000;30.909938
139.200000;30.584734
139.300000;30.326187
139.400000;30.091138
