file,num_valid_nodes,max_intensity,mean_intensity,num_above_threshold
51606.pt,12,2.595155715942383,1.000000008692344,3
9551.pt,20,2.594370126724243,0.9999999731779099,1
50823.pt,14,2.5873560905456543,1.0000000170298986,1
19782.pt,18,2.584721326828003,0.999999980131785,2
51594.pt,8,2.5831449031829834,0.999999986961484,1
51951.pt,9,2.5817556381225586,1.000000023179584,1
45614.pt,21,2.5817553997039795,0.9999999262037731,2
13630.pt,9,2.5798394680023193,1.0000000066227384,1
53048.pt,25,2.572810649871826,1.0000000929832458,2
1254.pt,13,2.5726675987243652,1.0000000504346995,1
7789.pt,17,2.5715901851654053,0.999999957926133,1
4894.pt,12,2.566296100616455,1.0000000496705372,1
5870.pt,13,2.566127061843872,0.9999999954150274,2
21956.pt,14,2.5653724670410156,1.0000000425747462,1
41205.pt,18,2.5626425743103027,1.0000000596046448,2
50235.pt,9,2.5626425743103027,1.0000000869234402,2
51246.pt,9,2.5618557929992676,1.0000000331136916,1
23794.pt,11,2.557781934738159,1.0000000108372082,1
7475.pt,16,2.557544708251953,0.9999999795109034,1
51225.pt,8,2.5572800636291504,0.9999999888241291,1
5953.pt,9,2.549575090408325,1.00000003973643,1
20164.pt,14,2.5491626262664795,1.0000000723770686,2
16627.pt,16,2.547365188598633,1.0000000223517418,1
18643.pt,9,2.5472183227539062,1.0000000331136916,1
50995.pt,15,2.54712176322937,1.000000035762787,1
41237.pt,9,2.5470707416534424,0.9999999933772616,1
51319.pt,27,2.5445852279663086,0.9999999558484113,2
52351.pt,9,2.5417165756225586,0.9999999668863084,1
243.pt,12,2.5283541679382324,1.000000028560559,2
19434.pt,19,2.5245814323425293,1.0000000047056299,2
7745.pt,16,2.5236592292785645,0.9999999813735485,2
7696.pt,23,2.5223731994628906,1.0000000103660251,1
11232.pt,19,2.5220680236816406,1.0526315632619356,2
1822.pt,13,2.5193798542022705,0.9999999954150274,2
15768.pt,19,2.517556667327881,1.000000050193385,1
12298.pt,12,2.5173065662384033,1.0000000049670537,2
21057.pt,15,2.5150318145751953,1.0000000337759654,1
21710.pt,12,2.513615369796753,0.9999999900658926,1
2127.pt,10,2.512904167175293,0.9999999880790711,1
7740.pt,16,2.5125627517700195,0.9999999944120646,2
10835.pt,16,2.5107779502868652,1.0000000894069672,1
41077.pt,30,2.510460376739502,1.0000000367561976,2
13185.pt,9,2.508361339569092,1.0000000662273831,1
258.pt,10,2.50312876701355,0.9999999374151229,1
13009.pt,8,2.500781536102295,1.0000000223517418,1
19282.pt,10,2.499375343322754,1.000000062584877,1
23510.pt,26,2.4981541633605957,0.9999999839525956,2
1439.pt,12,2.4977376461029053,1.0000000322858493,1
1868.pt,16,2.4968788623809814,0.9999999776482582,2
669.pt,7,2.494654417037964,1.0000000383172716,1
2836.pt,10,2.493765354156494,0.9999999418854714,1
15234.pt,27,2.492844581604004,0.9999999933772616,1
7612.pt,21,2.489921808242798,1.0000000454130626,2
2153.pt,9,2.4848148822784424,0.9999999635749393,1
7256.pt,13,2.4847095012664795,1.0,1
9540.pt,12,2.4826722145080566,0.999999945362409,1
12032.pt,16,2.477163791656494,1.0000000223517418,1
11812.pt,17,2.471125841140747,0.9999999368891996,1
15092.pt,11,2.4680275917053223,0.999999918720939,1
51961.pt,10,2.465296983718872,0.9999999821186065,1
51043.pt,8,2.4638125896453857,0.999999962747097,1
23733.pt,16,2.463625431060791,0.9999999795109034,1
52861.pt,24,2.462941884994507,0.9999999726812044,2
51277.pt,26,2.455965995788574,0.9999999885375683,1
16716.pt,10,2.454590082168579,0.9999999940395355,1
51012.pt,14,2.4539878368377686,1.0000000085149492,2
9261.pt,12,2.45298433303833,0.999999980131785,2
11220.pt,18,2.448307514190674,1.000000051326222,1
19800.pt,10,2.4479804039001465,1.000000011920929,2
41041.pt,16,2.445735216140747,1.000000011175871,1
7164.pt,13,2.444528102874756,1.0,1
4406.pt,19,2.443415641784668,0.9999999874516537,2
19276.pt,12,2.4429967403411865,1.0,1
876.pt,15,2.4429967403411865,0.999999980131785,1
21615.pt,12,2.442002534866333,1.0000000186264515,2
11641.pt,16,2.4406285285949707,1.0000000279396772,1
13437.pt,10,2.439619541168213,1.0000000417232513,1
18836.pt,13,2.438894033432007,0.999999965612705,1
20052.pt,19,2.437147378921509,1.0000000188225193,2
12557.pt,13,2.4344570636749268,1.0000000229248633,1
51050.pt,13,2.4246623516082764,1.0769230562907,2
16032.pt,21,2.423173427581787,0.9999999716168358,1
7637.pt,22,2.422907590866089,1.0000000568953427,2
17019.pt,13,2.422100782394409,0.9999999816601093,1
11351.pt,12,2.421116590499878,1.0000000099341075,1
7746.pt,16,2.4154586791992188,0.9999998845160007,2
19043.pt,10,2.413709878921509,1.00000002682209,1
13015.pt,5,2.4131274223327637,0.9999999880790711,1
19377.pt,8,2.4125452041625977,1.0000000074505806,1
19438.pt,17,2.4113476276397705,1.0000000280492447,1
7077.pt,12,2.4096386432647705,1.0000000496705372,2
22171.pt,10,2.4096386432647705,1.000000011920929,1
19488.pt,9,2.4025628566741943,1.0000000331136916,1
7175.pt,13,2.4025135040283203,1.0000000458497267,1
16147.pt,18,2.4019217491149902,1.0000000596046448,2
5841.pt,14,2.4005486965179443,0.9999999914850507,2
22817.pt,10,2.3946359157562256,0.9999999642372132,1
11002.pt,12,2.3926753997802734,0.9999999403953552,1
13697.pt,6,2.3923444747924805,0.9999999751647314,1
1705.pt,12,2.387584686279297,1.00000003973643,1
12013.pt,16,2.383561611175537,1.0000000149011612,1
16219.pt,24,2.381424903869629,0.9999999987582365,4
1821.pt,14,2.3809523582458496,1.000000034059797,2
2112.pt,14,2.3801429271698,1.0000000553471702,2
6120.pt,8,2.3798742294311523,0.9999999850988388,1
18068.pt,20,2.3786869049072266,0.9999999403953552,3
15810.pt,15,2.3782598972320557,0.9999999920527141,1
20053.pt,20,2.376311779022217,0.9999999836087227,1
50954.pt,10,2.375861167907715,0.9999999523162841,1
11811.pt,15,2.3750860691070557,0.9999999423821767,1
18922.pt,12,2.3735203742980957,0.9999999503294627,1
7659.pt,23,2.372112274169922,1.0000000466471133,4
9552.pt,14,2.372077226638794,0.9999999765838895,1
16100.pt,38,2.371738910675049,1.0000000156854327,4
19286.pt,9,2.3704192638397217,1.0000000198682149,1
23262.pt,9,2.3702926635742188,1.0000001125865512,1
7170.pt,12,2.367079496383667,1.0833333805203438,2
210.pt,11,2.3666090965270996,0.999999924139543,1
5998.pt,16,2.3612749576568604,0.9999999590218067,2
51612.pt,14,2.3588881492614746,1.000000046832221,2
45553.pt,9,2.357255220413208,1.0000000298023224,2
11603.pt,16,2.356994390487671,1.0000000521540642,1
16840.pt,6,2.356637954711914,1.00000003973643,2
13111.pt,16,2.355712652206421,1.000000037252903,2
10509.pt,18,2.354788303375244,1.0000001125865512,4
52386.pt,23,2.3546273708343506,0.9999999935212343,4
6941.pt,11,2.354451894760132,0.9999999458139593,1
13767.pt,4,2.3529410362243652,0.9999999646097422,1
7316.pt,14,2.35252046585083,0.9999999957425254,1
25093.pt,21,2.3524138927459717,0.999999965940203,1
33066.pt,16,2.3501763343811035,0.9999999850988388,2
19298.pt,18,2.3495872020721436,0.999999956952201,1
13389.pt,7,2.3460559844970703,0.9999999914850507,1
12591.pt,9,2.3454227447509766,1.0000000562932756,1
76.pt,8,2.344665765762329,0.9999999552965164,1
6913.pt,11,2.3418402671813965,1.0000000162558123,1
8301.pt,20,2.3412206172943115,1.0000000536441802,2
11604.pt,17,2.3389737606048584,1.0000000017530777,1
11669.pt,19,2.3384616374969482,1.0000000078427165,1
19176.pt,17,2.338376998901367,1.0000000736292671,2
22569.pt,10,2.336944818496704,1.0999999523162842,1
19311.pt,27,2.3320088386535645,0.9999999679900982,2
9164.pt,12,2.3310890197753906,1.000000002483527,1
23210.pt,17,2.3309237957000732,1.0000000201603945,1
16396.pt,20,2.327204942703247,0.9999999485909938,4
12242.pt,6,2.3249692916870117,1.0000000794728596,1
6462.pt,13,2.323659896850586,1.000000013754918,1
15367.pt,15,2.3234200477600098,0.999999984105428,2
11681.pt,17,2.3230388164520264,0.9999998965684105,1
7423.pt,15,2.3173182010650635,1.0000000556310018,2
1923.pt,8,2.316155195236206,1.0000000074505806,1
32186.pt,21,2.314826726913452,1.0000000198682149,1
1690.pt,10,2.3105361461639404,1.000000035762787,2
11823.pt,19,2.309274435043335,1.0000000125483464,1
52747.pt,12,2.306361675262451,0.9999999751647314,1
244.pt,12,2.301776647567749,1.00000003973643,1
2772.pt,12,2.301464796066284,0.9999999552965164,1
7841.pt,36,2.3007607460021973,1.0000000761614904,1
1381.pt,14,2.2992281913757324,1.0000000383172716,1
6613.pt,10,2.2972662448883057,0.9999999582767487,1
18851.pt,17,2.296056032180786,0.9999999684445998,1
51376.pt,12,2.295318126678467,0.9999999652306238,1
51318.pt,27,2.2925214767456055,0.9999999558484113,1
11673.pt,16,2.2922704219818115,0.9999999776482582,1
24526.pt,10,2.2909507751464844,1.0000000238418578,1
4393.pt,17,2.2898707389831543,1.0000000210369335,2
6330.pt,9,2.2894937992095947,1.0000000165568457,1
11453.pt,8,2.2892308235168457,0.9999999850988388,1
6078.pt,8,2.288818359375,0.9999999813735485,1
11039.pt,13,2.2887322902679443,0.9999999174704919,1
7314.pt,14,2.2883293628692627,0.9999999531677791,1
7538.pt,15,2.2850613594055176,1.0666666587193807,1
12428.pt,18,2.281141757965088,0.9999999205271403,2
11602.pt,16,2.2805376052856445,1.0000000409781933,1
7524.pt,20,2.2805016040802,0.9999999642372132,2
2138.pt,8,2.2772560119628906,1.0000000447034836,1
16031.pt,21,2.2765486240386963,0.9999999971616835,1
21519.pt,14,2.2764229774475098,1.0000000596046448,1
52745.pt,10,2.2747952938079834,0.9999999612569809,1
41082.pt,21,2.2731969356536865,1.0476189908527194,1
7710.pt,26,2.2731246948242188,0.9999999816601093,2
12109.pt,7,2.272040367126465,1.0000000383172716,1
248.pt,12,2.2718665599823,0.9999999503294627,2
18938.pt,8,2.271308422088623,0.9999999385327101,1
254.pt,12,2.271059036254883,1.0000000074505806,1
50162.pt,9,2.269289016723633,1.000000009106265,3
21259.pt,17,2.2680768966674805,0.9999999894815332,1
917.pt,10,2.267573833465576,1.000000035762787,1
15515.pt,9,2.267002582550049,1.00000003973643,1
7466.pt,15,2.2665457725524902,0.999999996026357,1
6074.pt,8,2.2630834579467773,0.9999999701976776,1
1319.pt,8,2.2624435424804688,1.0000000558793545,1
52310.pt,12,2.261164665222168,1.0000000496705372,1
21458.pt,21,2.2611498832702637,0.9999999687785194,2
3896.pt,11,2.259190797805786,1.0000000352209264,1
41018.pt,9,2.259157657623291,1.5555555158191257,2
1182.pt,12,2.259036064147949,0.9999999652306238,2
17240.pt,24,2.259036064147949,0.9999999552965164,4
1197.pt,18,2.256204605102539,1.0000000165568457,4
17090.pt,3,2.25563907623291,0.999999980131785,1
19624.pt,14,2.2553412914276123,1.0000000489609582,1
21385.pt,16,2.254791259765625,0.9999999403953552,1
7330.pt,14,2.2544283866882324,0.9999999914850507,2
2352.pt,21,2.250321388244629,0.9999999716168358,2
6069.pt,7,2.2486345767974854,0.9999999318804059,1
18532.pt,12,2.245929002761841,0.9999999205271403,1
1474.pt,10,2.2442851066589355,0.9999998986721039,1
7278.pt,11,2.242511510848999,1.2727272564714605,2
4326.pt,8,2.2402687072753906,0.9999999552965164,1
19708.pt,12,2.2391345500946045,0.9999999925494194,1
51213.pt,15,2.233633041381836,1.0000000238418578,1
16778.pt,9,2.233250856399536,1.0000000794728596,1
7424.pt,15,2.2317073345184326,1.0000000059604646,2
21715.pt,21,2.230720281600952,0.9999999858084179,3
21501.pt,10,2.2271716594696045,1.000000035762787,1
4335.pt,11,2.2262699604034424,1.0000000270930203,1
33078.pt,22,2.225937843322754,0.9999999837441877,2
19171.pt,13,2.224123001098633,0.9999999587352459,1
9758.pt,14,2.2236340045928955,0.9999999489103045,1
18043.pt,11,2.2208762168884277,1.0000000081279061,1
6879.pt,11,2.2205822467803955,1.0000000487674365,1
7028.pt,12,2.220135450363159,1.000000074505806,1
51269.pt,14,2.2173912525177,1.0000000425747462,1
4706.pt,8,2.2166244983673096,0.999999925494194,1
12539.pt,17,2.216515064239502,0.999999950913822,1
7535.pt,16,2.215712308883667,0.9999999888241291,1
16398.pt,20,2.2145159244537354,1.0000000596046448,2
10798.pt,18,2.2137367725372314,1.0000000728501215,2
15200.pt,13,2.211538553237915,1.0000000458497267,1
7900.pt,18,2.2113020420074463,0.9999999172157712,1
51015.pt,8,2.210526466369629,1.0000000670552254,1
10978.pt,12,2.2091312408447266,1.0000000596046448,4
19238.pt,25,2.2074313163757324,0.999999942779541,2
13702.pt,6,2.206693649291992,1.0000000099341075,1
129.pt,20,2.2036192417144775,0.9999999850988388,1
7293.pt,14,2.2027196884155273,0.9999999787126269,2
17263.pt,8,2.2008254528045654,1.0000000447034836,1
16624.pt,18,2.200235605239868,1.0000000331136916,1
19313.pt,12,2.199923515319824,0.9999999403953552,2
23828.pt,14,2.197502851486206,1.0000000319310598,1
51977.pt,10,2.196202516555786,0.9999999463558197,4
11647.pt,22,2.1951706409454346,0.999999997290698,2
10417.pt,5,2.1929824352264404,0.9999999880790711,1
